time,function,request_id,ip,message
2024-05-26 19:34:25.847626,[authz_core:error],dd74a36503bd6ddeb42f44c60bb40b53,78.153.140.218:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-05-27 23:15:29.786356,[authz_core:error],3977a9b3371f44cdefec510aa2bb2a08,157.254.165.24:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-05-28 15:37:03.524512,[autoindex:error],62718d62f5e2fba81a0e423722e7a3b0,195.211.77.142:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-29 06:09:12.306576,[-:error],81eacc27ced022477a49ebf67cb41659,89.187.171.176:0,"[client 89.187.171.176] ModSecurity: lws-antivirus skipped, file /tmp/20240529-060912-ZlaqaGW9KFbMuiUNMRxE9AAAAEw-file-DxnXb5 size is 0 bytes [hostname 'laboratoire-orphye.org'] [uri '/Contacts/'] [unique_id 'ZlaqaGW9KFbMuiUNMRxE9AAAAEw']"
2024-05-30 10:49:18.818245,[autoindex:error],eaec13c9e76325d3d9ed30f8f726612e,146.190.246.149:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-30 10:49:19.240907,[autoindex:error],bb4df35c2310c3e484f4cd93ea848cff,146.190.246.149:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-30 19:10:55.140944,[authz_core:error],0acbe8f15618a24e668ca7e2f05013cf,216.225.201.30:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-05-30 19:10:55.339671,[authz_core:error],68ddc2aaca4e048d1b208f84ac0cf15e,216.225.201.30:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-05-30 19:10:55.530663,[-:error],a6d0b2088ebca79063fd45c47b56d789,216.225.201.30:0,[client 216.225.201.30] ModSecurity: Access denied with code 406 (phase 1). RBL lookup of 30.201.225.216.rbl.malware.expert succeeded at REMOTE_ADDR. [file '/usr/share/modsecurity_lws/me_rbl.conf'] [line '1'] [id '400010'] [msg 'Malware host detected by rbl.malware.expert'] [hostname 'laboratoire-orphye.org'] [uri '/.env'] [unique_id 'ZlizH8Ask8Uh0PY0AiBD-AAAAEs']
2024-05-30 19:10:55.824192,[-:error],a5540563915f290ce515cb858139dfe5,216.225.201.30:0,[client 216.225.201.30] ModSecurity: Access denied with code 406 (phase 1). RBL lookup of 30.201.225.216.rbl.malware.expert succeeded at REMOTE_ADDR. [file '/usr/share/modsecurity_lws/me_rbl.conf'] [line '1'] [id '400010'] [msg 'Malware host detected by rbl.malware.expert'] [hostname 'laboratoire-orphye.org'] [uri '/.env'] [unique_id 'ZlizH9loDGThmEQe5A1dQQAAABc']
2024-05-31 05:44:09.991842,[authz_core:error],db25e8466fa2c948ac0a9e3871e98f41,52.179.92.78:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-05-31 05:44:11.217919,[authz_core:error],57ba73ec5aaa5910268c4b974021855f,52.179.92.78:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-05-31 05:44:12.993701,[-:error],852f8f7a1c08d02de52e473ba5d91d24,52.179.92.78:0,[client 52.179.92.78] ModSecurity: Access denied with code 406 (phase 1). RBL lookup of 78.92.179.52.rbl.malware.expert succeeded at REMOTE_ADDR. [file '/usr/share/modsecurity_lws/me_rbl.conf'] [line '1'] [id '400010'] [msg 'Malware host detected by rbl.malware.expert'] [hostname 'laboratoire-orphye.org'] [uri '/'] [unique_id 'ZllHjNw75MQraZEHX9zOSwAAAMA']
2024-06-01 22:36:08.489235,[-:error],48041971f2b389f546fb2a5c5c84d9a0,52.163.227.189:0,[client 52.163.227.189] ModSecurity: Access denied with code 406 (phase 2). String match '/wp-2019.php' at REQUEST_URI. [file 'remote server'] [line '-1'] [id '570068'] [msg 'Malware.Expert - PHP Command Shell (WSO)'] [hostname 'laboratoire-orphye.org'] [uri '/wp-2019.php'] [unique_id 'ZluGOH5J2h8WgQGE4cmwAQAAAAA']
2024-06-01 22:36:47.062954,[-:error],38ba28ecc17f1ac649d3e238fa497821,52.163.227.189:0,[client 52.163.227.189] ModSecurity: Access denied with code 406 (phase 2). String match '/shell.php' at REQUEST_URI. [file 'remote server'] [line '-1'] [id '570072'] [msg 'Malware.Expert - PHP Command Shell'] [hostname 'laboratoire-orphye.org'] [uri '/shell.php'] [unique_id 'ZluGX8DXCcli5uijutKvigAAANA']
2024-06-01 22:51:31.868414,[authz_core:error],d35f6ef0864e5ff906473a012879ce97,78.153.140.218:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
