time,function,request_id,ip,message
2024-06-10 23:01:06.988358,[-:error],47e3cfc03f77da14121a870afa4ded01,83.97.73.239:0,[client 83.97.73.239] ModSecurity: Access denied with code 406 (phase 1). RBL lookup of 239.73.97.83.rbl.malware.expert succeeded at REMOTE_ADDR. [file '/usr/share/modsecurity_lws/me_rbl.conf'] [line '1'] [id '400010'] [msg 'Malware host detected by rbl.malware.expert'] [hostname 'laboratoire-orphye.org'] [uri '/Contacts/'] [unique_id 'ZmdpkkXNhR1zGNdPn1vFtQAAAAA']
2024-06-11 03:05:27.726541,[-:error],6fbdbaae15352d8f1eef432262455d00,172.98.86.139:0,"[client 172.98.86.139] ModSecurity: lws-antivirus skipped, file /tmp/20240611-030527-Zmei1z301b1ESp7k2ivR3wAAAIQ-file-uWVLqs size is 0 bytes [hostname 'laboratoire-orphye.org'] [uri '/Contacts/'] [unique_id 'Zmei1z301b1ESp7k2ivR3wAAAIQ']"
2024-06-11 15:34:45.378954,[authz_core:error],95ba97e2380b66e81065fd5fbcb3d87e,84.239.31.149:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-06-13 08:04:04.631173,[autoindex:error],8efeef1af3f100aca4ce5355ac78a8f4,159.65.158.160:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-06-13 08:04:05.282894,[autoindex:error],79c4402ea465f0080cd6e07f12e0f44a,159.65.158.160:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-06-13 15:08:53.824717,[-:error],68f52b8699d308d00054a50d2bdccca8,50.3.159.231:0,[client 50.3.159.231] ModSecurity: Access denied with code 406 (phase 1). RBL lookup of 231.159.3.50.rbl.malware.expert succeeded at REMOTE_ADDR. [file '/usr/share/modsecurity_lws/me_rbl.conf'] [line '1'] [id '400010'] [msg 'Malware host detected by rbl.malware.expert'] [hostname 'laboratoire-orphye.org'] [uri '/Contacts/'] [unique_id 'ZmrvZXoBks4JTo_5gntuXgAAAEE']
2024-06-13 15:08:54.458969,[-:error],5b5143820e82499193e9743b5960a546,165.231.159.76:0,[client 165.231.159.76] ModSecurity: Access denied with code 406 (phase 1). RBL lookup of 76.159.231.165.rbl.malware.expert succeeded at REMOTE_ADDR. [file '/usr/share/modsecurity_lws/me_rbl.conf'] [line '1'] [id '400010'] [msg 'Malware host detected by rbl.malware.expert'] [hostname 'laboratoire-orphye.org'] [uri '/Contacts/'] [unique_id 'ZmrvZmwgfkc3v0VUuZFfNgAAAAs']
2024-06-13 15:08:54.745501,[-:error],b01aea5de354e14aaf1b44fa6181e20c,185.28.182.90:0,"[client 185.28.182.90] ModSecurity: lws-antivirus skipped, file /tmp/20240613-150854-ZmrvZmwgfkc3v0VUuZFfNwAAAAg-file-JqcoVG size is 0 bytes [hostname 'laboratoire-orphye.org'] [uri '/Contacts/'] [unique_id 'ZmrvZmwgfkc3v0VUuZFfNwAAAAg']"
2024-06-13 17:43:27.990187,[-:error],922b6bb4209cfe35f71ebf495ede8034,104.167.197.139:0,[client 104.167.197.139] ModSecurity: Access denied with code 406 (phase 2). String match '/.git/config' at REQUEST_URI. [file 'remote server'] [line '-1'] [id '430058'] [msg 'Malware.Expert - request_uri: .git config'] [hostname 'laboratoire-orphye.org'] [uri '/.git/config'] [unique_id 'ZmsTn8lmUi6iodCSDgzjXQAAAMU']
2024-06-13 23:37:36.781370,[authz_core:error],1cc35079254adbbf5d13b91bd5a5046b,78.153.140.218:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-06-13 23:37:44.785711,[authz_core:error],f0b8114660188d1bf5cf2b57c67883ee,78.153.140.218:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-06-14 21:15:18.628734,[autoindex:error],90d313457b1c3e85ee08ff0cff1dc7a4,45.148.10.59:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
